s39,s40,s41,v92,v93,v94,v95,v96,v97,v98,v99,oh53,oh54,oh55,oh56,oh57,v100,v101,v102,v103,v104,v105,v106,v107,oh58,oh59,oh60,oh61,oh62
0.44068,0.30457,0.24964,0.00756,0.0036,0.15354,0.23971,0.00401,0.11008,0.30136,0.13335,0.18066,0.19165,0.4126,0.18738,-0.09217,0.02602,0.2019,0.15821,0.01393,0.13543,0.27875,0.10321,0.01275,0.04211,0.00427,0.23193,0.02076,-0.23498
0.43884,0.32227,0.25025,0.01259,0.02163,0.15693,0.23353,0.02623,0.1229,0.29989,0.14409,0.18615,0.16785,0.39367,0.14222,-0.10865,0.02602,0.20757,0.17899,0.0299,0.13871,0.30062,0.10859,0.00146,0.03052,-0.00732,0.25025,0.02808,-0.25329
0.17822,0.14404,-0.19958,0.07052,0.17409,0.2388,0.34796,0.18438,0.06712,0.45112,0.15125,-0.25757,-0.15503,0.1886,0.05127,-0.56702,0.07976,0.24723,0.23243,0.14125,0.19987,0.37459,0.08174,0.03061,-0.40771,-0.52368,-0.18921,-0.35644,-0.81665
0.7428,0.60364,0.47425,0.00503,0.01235,0.16415,0.25568,0.00437,0.12261,0.32176,0.14438,0.34729,0.35461,0.59082,0.33997,0.05188,0.0466,0.17461,0.21165,0.01443,0.13424,0.30536,0.15721,0.05065,0.14771,0.07996,0.38452,0.06287,-0.12695
0.85571,0.6665,0.49988,0.02141,0.06284,0.17857,0.23455,0.02587,0.16198,0.31921,0.12052,0.354,0.38513,0.64209,0.31067,0.10742,0.05792,0.18749,0.18366,0.00825,0.14975,0.29042,0.13394,0.05611,0.19897,0.11475,0.37903,0.10498,-0.10742
0.56946,0.43579,0.23621,0.02729,0.00979,0.1811,0.2325,0.01676,0.13304,0.31993,0.11515,0.09094,0.13062,0.39123,0.11902,-0.14466,0.00168,0.24311,0.19596,0.08042,0.13961,0.34034,0.09129,0.0583,-0.05066,-0.04822,0.23377,0.047,-0.3363
0.57251,0.45532,0.29114,0.08774,0.01752,0.29266,0.26858,0.08856,0.19569,0.44128,0.09307,0.06469,0.19226,0.6134,0.21302,-0.12574,0.05624,0.23538,0.22819,0.05722,0.1763,0.36257,0.12738,0.00838,-0.0116,-0.09338,0.23499,-0.02563,-0.37231
0.6012,0.47058,0.42603,0.07346,0.00979,0.17136,0.29744,0.07069,0.11485,0.35746,0.11992,0.36621,0.47302,0.7196,0.48462,0.12085,0.03316,0.20191,0.17729,0.03402,0.1405,0.29515,0.14438,0.05283,0.25085,0.20264,0.45776,0.16236,-0.03662
0.61646,0.46936,0.52063,0.01469,0.04893,0.16245,0.21342,0.02186,0.14259,0.29042,0.11306,0.3479,0.36926,0.60302,0.31128,0.11657,0.0084,0.1607,0.20698,0.03247,0.09904,0.29151,0.16437,0.03024,0.16663,0.15442,0.45227,0.11597,-0.03601
0.64453,0.50659,0.54444,0.01637,0.05305,0.18196,0.18764,0.05174,0.1587,0.28896,0.12022,0.36865,0.34485,0.60669,0.28199,0.12268,0.03904,0.20963,0.16457,0.05774,0.14916,0.28969,0.08233,0.00693,0.32593,0.26916,0.50598,0.33753,0.02075
0.48035,0.41504,0.27649,0.04113,0.04584,0.17348,0.25208,0.00328,0.09546,0.32722,0.17511,-0.02442,-0.08423,0.16541,-0.02991,-0.38269,0.03778,0.2323,0.22395,0.16548,0.16139,0.35674,0.06175,0.08418,-0.19959,-0.25452,0.06775,-0.05859,-0.52979
0.48035,0.41504,0.27649,0.03988,0.08756,0.20614,0.27373,0.02733,0.09427,0.37059,0.18674,-0.18006,-0.23804,0.0586,-0.13428,-0.56214,0.04911,0.24467,0.25534,0.17424,0.1766,0.39245,0.07875,0.08054,-0.31739,-0.38879,-0.02136,-0.18249,-0.67872
0.40039,0.3186,0.25757,0.02056,0.01494,0.17602,0.24796,0.02842,0.13245,0.3265,0.15811,0.17761,0.14771,0.401,0.13001,-0.14588,0.01805,0.22148,0.21377,0.01134,0.1411,0.34034,0.14379,0.00765,0.04639,0.02014,0.32776,0.03357,-0.24231
0.27344,0.22949,0.10865,0.03904,0.04584,0.21249,0.23043,0.00146,0.1229,0.34544,0.16109,-0.03357,-0.09033,0.21545,-0.03601,-0.36316,0.00714,0.30337,0.25491,0.16548,0.17063,0.43362,0.08352,0.12317,-0.13123,-0.12085,0.24597,0.07508,-0.48034
